year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-2019,Rabi,Kumuram Bheem,Rebbena,Sugarcane,0,0
2018-2019,Rabi,Kumuram Bheem,Asifabad,Sugarcane,0,0
2018-2019,Rabi,Kumuram Bheem,Kerameri,Sugarcane,0,0
2018-2019,Rabi,Kumuram Bheem,Wankidi,Sugarcane,0,0
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Sugarcane,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Sugarcane,0,0
2018-2019,Rabi,Kumuram Bheem,Kouthala,Sugarcane,0,0
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Sugarcane,0,0
2018-2019,Rabi,Kumuram Bheem,Bejjur,Sugarcane,0,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Sugarcane,0,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Sugarcane,0,0
2018-2019,Rabi,Kumuram Bheem,Jainoor,Bitter Guard,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Bitter Guard,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Bitter Guard,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Bitter Guard,0,0
2018-2019,Rabi,Kumuram Bheem,Rebbena,Bitter Guard,0,0
2018-2019,Rabi,Kumuram Bheem,Asifabad,Bitter Guard,0,0
2018-2019,Rabi,Kumuram Bheem,Kerameri,Bitter Guard,0,2
2018-2019,Rabi,Kumuram Bheem,Wankidi,Bitter Guard,0,0
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Bitter Guard,6,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Bitter Guard,0,0
2018-2019,Rabi,Kumuram Bheem,Kouthala,Bitter Guard,1,0
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Bitter Guard,0,0
2018-2019,Rabi,Kumuram Bheem,Bejjur,Bitter Guard,6,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Bitter Guard,2,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Bitter Guard,0,0
2018-2019,Rabi,Kumuram Bheem,Jainoor,Tomoto,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Tomoto,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Tomoto,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Tomoto,3,26
2018-2019,Rabi,Kumuram Bheem,Rebbena,Tomoto,36,60
2018-2019,Rabi,Kumuram Bheem,Asifabad,Tomoto,2,5
2018-2019,Rabi,Kumuram Bheem,Kerameri,Tomoto,0,6
2018-2019,Rabi,Kumuram Bheem,Wankidi,Tomoto,6,1
